,doc.id,date
982,982-B,4/6/1962
983,983-B,4/6/1962
984,984-B,4/7/1962
985,985-B,4/12/1962
986,986-B,4/9/1962
987,987-B,4/9/1962
988,988-B,4/9/1962
989,989-B,4/12/1962
990,990-B,4/9/1962
991,991-B,4/9/1962
992,992-B,4/10/1962
993,993-B,4/23/1962
994,994-B,4/13/1962
995,995-B,4/13/1962
996,996-B,4/13/1962
997,997-B,4/13/1962
998,998-B,4/13/1962
999,999-B,4/13/1962
1000,1000-B,4/13/1962
1001,1001-B,4/13/1962
1002,1002-B,4/18/1962
1003,1003-B,4/12/1962
1004,1004-B,4/12/1962
1005,1005-B,4/12/1962
1006,1006-B,4/15/1962
1007,1007-B,4/16/1962
1008,1008-B,4/19/1962
1009,1009-B,4/23/1962
1010,1010-B,4/23/1962
1011,1011-B,4/19/1962
1012,1012-B,4/19/1962
1013,1013-B,4/24/1962
1014,1014-B,4/26/1962
1015,1015-B,4/26/1962
1016,1016-B,5/3/1962
1017,1017-B,5/3/1962
1018,1018-B,5/3/1962
1019,1019-B,5/4/1962
1020,1020-B,5/17/1962
1021,1021-B,5/21/1962
1022,1022-B,5/17/1962
1023,1023-B,5/17/1962
1024,1024-B,5/17/1962
1025,1025-B,5/24/1962
1026,1026-B,5/23/1962
1027,1027-B,5/23/1962
1028,1028-B,5/23/1962
1029,1029-B,5/28/1962
1030,1030-B,6/1/1962
1031,1031-B,6/4/1962
1032,1032-B,6/7/1962
1033,1033-B,6/7/1962
1034,1034-B,6/7/1962
1035,1035-B,6/11/1962
1036,1036-B,6/9/1962
1037,1037-B,6/14/1962
1038,1038-B,6/18/1962
1039,1039-B,6/16/1962
1040,1040-B,6/7/1962
1041,1041-B,6/7/1962
1042,1042-B,6/7/1962
1043,1043-B,6/18/1962
1044,1044-B,6/18/1962
1045,1045-B,7/18/1962
1046,1046-B,7/18/1962
1047,1047-B,6/26/1962
1048,1048-B,6/26/1962
1049,1049-B,7/11/1962
1050,1050-B,7/12/1962
1051,1051-B,7/11/1962
1052,1052-B,7/12/1962
1053,1053-B,7/12/1962
1054,1054-B,7/12/1962
1055,1055-B,7/13/1962
1056,1056-B,7/12/1962
1057,1057-B,7/12/1962
1058,1058-B,7/12/1962
1059,1059-B,7/16/1962
1060,1060-B,7/17/1962
1061,1061-B,7/17/1962
1062,1062-B,7/18/1962
1063,1063-B,7/18/1962
